jenis_sepatu,suhu_awal,kelembapan_awal,suhu_akhir,kelembapan_akhir,lama_pengeringan
Leather,25.5,60.2,44.7,1.3,170
Leather,25.7,59.1,46.5,0.8,161
Leather,25.6,60.4,46.3,0.8,166
Leather,25.5,60.3,46.1,1.5,163
Leather,25.6,59.2,45.6,0.0,173
Leather,25.5,59.7,45.3,1.4,165
Leather,25.5,59.7,45.0,0.1,162
Leather,25.6,60.3,45.7,0.9,173
Leather,25.6,59.9,44.6,0.7,174
Leather,25.5,59.8,45.7,1.1,174
Leather,25.6,60.4,46.4,0.0,165
Leather,25.5,59.0,45.8,1.8,165
Leather,25.4,60.8,45.2,0.2,173
Leather,25.5,59.5,45.1,0.6,172
Leather,25.5,60.2,45.9,0.5,173
Leather,25.5,59.2,44.9,1.4,173
Leather,25.6,59.2,45.6,0.5,160
Leather,25.7,59.9,46.1,1.1,165
Leather,25.7,60.1,46.1,1.8,162
Leather,25.5,59.4,45.7,0.8,160
Leather,25.6,59.5,46.1,0.8,160
Leather,25.6,59.2,45.7,0.9,160
Leather,25.6,60.6,44.9,0.2,177
Leather,25.4,60.2,45.7,1.1,165
Leather,25.6,59.9,46.5,0.3,154
Leather,25.6,59.8,45.4,1.4,172
Leather,25.5,59.2,44.7,1.8,181
Leather,25.5,59.6,45.0,0.7,172
Leather,25.4,60.5,45.0,1.1,170
Leather,25.7,60.2,45.6,0.6,175
Leather,25.7,60.3,45.6,1.5,163
Leather,25.5,59.1,45.6,1.9,169
Leather,25.5,60.0,44.7,0.9,171
Leather,25.6,59.7,45.8,1.6,161
Leather,25.7,60.8,45.6,1.7,168
Leather,25.6,60.2,44.7,1.5,176
Leather,25.6,60.3,44.6,0.6,176
Leather,25.5,59.7,44.7,1.9,166
Leather,25.5,59.8,45.7,1.0,170
Leather,25.7,59.9,46.5,1.7,161
Leather,25.5,60.7,46.2,1.6,164
Leather,25.6,59.6,44.7,0.8,177
Leather,25.5,60.9,45.8,1.6,164
Leather,25.4,60.6,46.3,1.0,171
Leather,25.5,60.0,45.3,0.3,173
Leather,25.5,59.1,44.6,0.3,175
Leather,25.7,59.8,45.1,1.0,174
Leather,25.5,59.2,45.8,0.4,173
Leather,25.4,59.1,46.1,0.9,168
Leather,25.4,60.9,44.6,1.4,175
Leather,25.6,59.1,45.5,2.0,166
Leather,25.6,60.2,45.1,1.2,160
Leather,25.4,60.7,45.4,0.4,176
Leather,25.5,59.8,46.2,1.5,160
Leather,25.4,59.5,46.0,0.3,151
Leather,25.6,59.4,44.5,0.5,176
Leather,25.4,60.0,45.4,1.7,173
Leather,25.4,59.9,44.8,0.6,174
Leather,25.5,59.7,45.4,1.6,178
Leather,25.7,60.8,46.1,0.6,163
Leather,25.5,60.6,44.6,1.8,181
Leather,25.5,60.2,45.8,1.8,174
Leather,25.4,60.0,44.8,1.5,181
Leather,25.6,60.3,44.6,0.2,175
Leather,25.4,59.0,46.4,1.5,161
Leather,25.5,59.6,45.2,1.5,165
Leather,25.5,59.2,45.8,1.5,168
Leather,25.5,59.0,44.7,1.9,178
Leather,25.6,59.7,44.9,0.2,169
Leather,25.6,60.5,45.8,1.1,164
Leather,25.7,60.1,45.7,1.5,172
Leather,25.6,60.2,44.8,0.7,170
Leather,25.5,60.2,46.4,0.5,152
Leather,25.4,59.4,46.3,1.3,166
Leather,25.7,60.6,46.3,0.5,161
Leather,25.6,59.9,46.2,1.5,167
Leather,25.5,60.0,46.5,1.9,167
Leather,25.4,59.3,44.8,1.5,171
Leather,25.6,60.6,46.0,1.1,169
Leather,25.6,60.0,45.1,1.1,176
Leather,25.6,60.4,44.8,0.9,177
Leather,25.4,59.5,46.0,2.0,163
Leather,25.6,59.4,45.6,1.5,163
Leather,25.6,59.4,45.2,1.6,170
Leather,25.6,59.1,46.0,0.4,163
Leather,25.7,59.7,45.2,0.3,174
Leather,25.7,59.7,45.4,1.4,167
Leather,25.7,60.1,45.3,0.8,163
Leather,25.6,59.2,45.7,1.0,172
Leather,25.6,59.1,45.7,1.1,176
Leather,25.6,60.5,45.0,1.7,180
Leather,25.5,59.1,44.6,0.7,178
Leather,25.6,60.0,45.4,0.3,175
Leather,25.5,59.8,44.7,0.4,181
Leather,25.7,60.8,45.8,0.8,171
Leather,25.6,60.5,44.7,0.8,175
Leather,25.6,60.1,44.9,0.7,179
Leather,25.5,59.0,44.5,1.7,176
Leather,25.5,60.8,45.0,0.9,166
Leather,25.7,60.6,44.9,1.6,169
Leather,25.4,59.2,46.0,1.0,150
Leather,25.5,60.4,46.0,0.3,161
Leather,25.6,60.2,46.4,0.1,164
Leather,25.4,59.5,45.0,0.5,171
Leather,25.5,60.4,45.4,1.6,172
Leather,25.4,59.9,44.6,0.1,164
Leather,25.5,60.7,44.5,1.3,181
Leather,25.7,60.1,46.4,0.1,154
Leather,25.6,60.9,45.0,1.3,172
Leather,25.5,60.1,45.4,1.9,162
Leather,25.4,59.3,45.0,0.5,177
Leather,25.7,60.1,45.5,0.2,171
Leather,25.4,60.3,45.6,0.2,172
Leather,25.5,59.9,44.8,1.9,177
Leather,25.5,59.8,45.8,1.1,171
Leather,25.4,60.0,46.1,0.9,161
Leather,25.4,59.6,46.0,1.0,160
Leather,25.5,60.7,46.3,1.7,163
Leather,25.7,60.5,44.6,0.1,169
Leather,25.5,60.7,45.6,1.0,171
Leather,25.6,59.7,46.1,1.9,160
Leather,25.5,60.0,45.1,1.6,181
Leather,25.6,59.8,46.3,1.1,168
Leather,25.4,60.3,46.1,0.6,163
Leather,25.5,60.7,45.8,0.3,166
Leather,25.5,60.2,44.7,1.8,176
Leather,25.7,59.8,46.5,1.3,168
Leather,25.6,59.3,46.3,0.9,167
Leather,25.6,60.7,44.7,1.5,181
Leather,25.5,60.6,46.1,1.1,160
Leather,25.5,60.6,45.4,0.7,177
Leather,25.5,60.6,45.2,0.3,177
Leather,25.4,59.5,44.8,0.7,176
Leather,25.5,60.4,45.8,1.2,172
Leather,25.5,60.9,45.8,0.3,166
Leather,25.6,59.6,45.9,0.1,166
Leather,25.5,60.6,45.1,1.3,172
Leather,25.6,60.0,45.1,0.4,175
Leather,25.7,60.5,46.1,1.3,166
Leather,25.5,60.7,45.8,1.1,167
Leather,25.5,60.6,45.6,0.8,165
Leather,25.7,59.2,45.3,0.1,171
Leather,25.5,60.6,45.1,1.8,174
Leather,25.6,60.5,44.5,1.9,173
Leather,25.6,59.5,46.2,0.2,168
Leather,25.6,60.0,44.7,0.5,175
Leather,25.5,60.1,45.1,0.6,171
Leather,25.6,59.1,46.3,1.7,166
Leather,25.7,59.4,44.7,0.5,181
Leather,25.6,59.1,45.7,2.0,166
Leather,25.4,60.6,45.7,0.2,174
Leather,25.4,60.7,45.8,1.7,169
Leather,25.6,59.8,45.1,0.9,177
Leather,25.6,60.1,46.3,0.9,171
Leather,25.6,60.3,45.0,1.0,180
Leather,25.4,59.7,45.5,1.3,169
Leather,25.6,60.0,45.8,0.1,169
Leather,25.5,59.7,45.4,0.1,167
Leather,25.7,59.6,45.5,0.4,165
Leather,25.6,59.5,44.9,1.0,171
Leather,25.6,60.1,45.5,0.6,165
Leather,25.7,59.8,44.7,1.2,173
Leather,25.6,60.7,45.5,1.4,166
Leather,25.7,59.2,45.0,0.8,162
Leather,25.7,60.4,45.7,0.6,160
Leather,25.6,60.8,46.1,0.0,163
Leather,25.5,59.1,45.7,1.4,166
Leather,25.4,59.7,45.4,0.7,168
Leather,25.6,59.1,44.7,0.7,169
Leather,25.7,60.3,45.9,0.7,166
Leather,25.6,60.7,45.7,1.7,169
Leather,25.6,59.2,46.3,0.1,155
Leather,25.4,59.8,45.1,1.0,172
Leather,25.6,59.1,44.7,1.1,180
Leather,25.6,60.6,45.9,0.9,163
Leather,25.6,59.5,45.1,1.6,178
Leather,25.6,60.6,46.3,0.9,163
Leather,25.5,60.1,45.2,1.2,177
Leather,25.5,59.3,45.4,0.3,174
Leather,25.7,59.7,44.8,0.1,181
Leather,25.5,59.1,45.3,0.6,176
Leather,25.6,60.2,45.2,0.4,172
Leather,25.6,59.3,45.5,0.1,169
Leather,25.6,60.8,45.3,0.1,172
Leather,25.4,59.0,46.0,0.9,161
Leather,25.5,60.7,44.7,1.9,180
Leather,25.6,60.6,46.5,0.6,161
Leather,25.7,59.7,45.3,0.7,164
Leather,25.6,60.0,46.0,1.7,166
Leather,25.5,59.6,45.0,0.4,171
Leather,25.5,60.8,45.6,0.7,167
Leather,25.6,59.3,45.4,1.3,156
Leather,25.7,60.7,45.7,1.1,167
Leather,25.6,59.4,45.3,0.1,181
Leather,25.5,60.8,46.3,1.4,157
Leather,25.6,60.7,44.8,1.6,177
Leather,25.5,60.7,46.4,0.3,161
Leather,25.5,60.9,45.5,1.7,162
Leather,25.5,59.4,46.0,0.8,170
Leather,25.6,59.9,45.7,1.7,167
Leather,25.6,60.5,45.6,1.9,171
Leather,25.5,59.2,46.2,0.9,165
Leather,25.6,60.8,44.5,1.0,164
Leather,25.6,60.4,45.9,0.3,162
Leather,25.6,59.5,44.9,1.9,166
Leather,25.4,60.9,45.9,1.7,171
Leather,25.6,59.3,46.0,1.5,166
Leather,25.6,60.5,46.2,1.2,164
Leather,25.4,59.8,45.3,0.1,166
Leather,25.5,59.2,46.1,1.9,153
Leather,25.4,60.0,46.1,1.4,165
Leather,25.4,59.1,45.3,0.6,165
Leather,25.6,60.8,45.3,1.8,168
Leather,25.5,59.9,45.0,1.3,173
Leather,25.5,60.2,44.7,1.8,177
Leather,25.6,59.9,45.7,1.2,168
Leather,25.5,60.4,46.1,1.6,163
Leather,25.6,60.0,44.8,1.6,174
Leather,25.5,59.3,45.8,0.1,156
Leather,25.6,59.6,44.5,1.0,175
Leather,25.7,59.0,45.0,1.5,172
Leather,25.5,59.2,45.2,0.5,167
Leather,25.6,60.7,45.4,1.8,176
Canvas,24.1,91.8,46.7,8.4,190
Canvas,24.1,90.7,46.5,5.8,201
Canvas,24.1,90.6,48.4,8.7,185
Canvas,24.1,88.4,48.1,8.2,185
Canvas,24.0,89.4,48.4,7.5,176
Canvas,24.0,89.4,47.2,5.3,182
Canvas,24.2,89.6,48.1,9.2,189
Canvas,24.1,91.4,46.9,8.3,194
Canvas,24.1,89.2,46.8,8.2,193
Canvas,24.1,89.5,47.9,6.0,193
Canvas,24.2,89.1,47.2,5.3,194
Canvas,24.1,91.3,46.5,6.9,198
Canvas,24.1,88.1,46.7,7.0,184
Canvas,24.1,90.3,46.5,7.3,200
Canvas,24.2,90.0,47.9,6.5,192
Canvas,24.1,91.8,46.8,5.1,202
Canvas,24.2,91.1,46.7,6.3,201
Canvas,24.1,89.4,46.5,6.5,202
Canvas,24.1,91.8,48.2,5.1,189
Canvas,24.2,89.8,47.3,6.5,195
Canvas,24.0,88.9,47.0,7.4,194
Canvas,24.0,91.7,48.4,8.8,195
Canvas,24.2,90.1,48.4,5.4,178
Canvas,24.0,88.5,47.7,8.8,185
Canvas,24.1,88.6,48.1,8.1,192
Canvas,24.1,89.3,48.3,6.4,179
Canvas,24.1,91.5,47.9,5.3,186
Canvas,24.0,91.7,47.6,6.2,202
Canvas,24.1,90.7,46.7,6.3,199
Canvas,24.1,89.7,46.6,5.8,202
Canvas,24.1,88.8,46.6,9.1,196
Canvas,24.2,88.8,48.4,9.9,185
Canvas,24.1,91.8,47.6,6.3,202
Canvas,24.0,90.4,48.5,5.9,177
Canvas,24.2,91.5,48.4,9.7,188
Canvas,24.2,88.6,47.5,8.5,190
Canvas,24.0,90.5,47.8,5.8,197
Canvas,24.1,88.0,46.5,6.7,200
Canvas,24.2,88.9,47.8,6.1,192
Canvas,24.1,88.4,47.4,5.1,188
Canvas,24.1,90.6,46.7,6.4,202
Canvas,24.2,88.2,48.0,6.8,184
Canvas,24.1,90.9,48.3,9.7,177
Canvas,24.2,89.0,47.6,6.8,195
Canvas,24.1,88.9,46.9,9.5,196
Canvas,24.0,88.2,46.6,5.9,193
Canvas,24.2,89.1,48.4,7.8,192
Canvas,24.1,91.0,47.1,6.7,189
Canvas,24.2,91.7,48.3,7.1,187
Canvas,24.1,88.8,47.7,5.9,196
Canvas,24.1,91.3,46.9,5.3,186
Canvas,24.2,91.3,47.2,8.4,198
Canvas,24.2,90.6,46.8,9.3,190
Canvas,24.1,88.1,46.8,8.8,197
Canvas,24.0,89.6,47.5,5.3,186
Canvas,24.0,88.0,48.0,9.7,179
Canvas,24.0,90.6,48.0,9.2,180
Canvas,24.1,90.8,48.1,5.9,184
Canvas,24.1,91.5,48.1,9.8,186
Canvas,24.1,90.6,46.7,7.7,202
Canvas,24.1,88.7,48.1,7.9,188
Canvas,24.1,90.8,48.0,5.5,181
Canvas,24.1,90.0,47.2,9.6,197
Canvas,24.1,89.8,48.3,8.4,189
Canvas,24.1,91.4,47.0,9.0,196
Canvas,24.1,91.8,48.2,8.4,183
Canvas,24.1,90.2,48.4,7.4,179
Canvas,24.2,90.9,47.3,5.1,193
Canvas,24.2,88.0,47.9,9.8,178
Canvas,24.1,91.2,47.6,9.7,191
Canvas,24.0,90.0,47.9,9.2,191
Canvas,24.1,89.5,46.8,9.2,195
Canvas,24.0,89.2,47.1,9.3,200
Canvas,24.1,90.4,47.6,9.1,195
Canvas,24.2,88.0,47.8,5.3,177
Canvas,24.1,89.4,47.7,6.6,191
Canvas,24.1,89.6,46.6,8.8,197
Canvas,24.1,89.3,46.6,6.8,191
Canvas,24.2,90.5,47.8,8.1,188
Canvas,24.2,88.4,47.1,6.4,187
Canvas,24.1,91.8,46.6,7.5,202
Canvas,24.1,90.7,47.3,6.7,190
Canvas,24.1,89.0,46.9,7.4,191
Canvas,24.1,91.8,47.7,5.4,188
Canvas,24.0,91.7,47.1,5.5,202
Canvas,24.1,89.0,46.5,9.7,202
Canvas,24.1,90.6,47.9,8.0,184
Canvas,24.1,91.4,48.4,5.5,181
Canvas,24.0,91.7,48.0,9.3,192
Canvas,24.1,90.7,47.3,5.1,188
Canvas,24.1,89.0,47.4,9.7,197
Canvas,24.0,90.6,48.5,5.5,182
Canvas,24.0,89.7,46.7,8.7,198
Canvas,24.1,89.7,47.9,5.0,192
Canvas,24.1,90.4,47.8,6.2,187
Canvas,24.0,91.4,48.0,5.1,191
Canvas,24.0,88.8,47.0,6.2,194
Canvas,24.1,90.4,47.8,5.4,186
Canvas,24.2,91.3,48.1,9.0,189
Canvas,24.0,90.4,48.0,8.6,192
Canvas,24.1,88.3,47.2,9.5,198
Canvas,24.1,89.4,48.3,8.3,196
Canvas,24.2,89.8,47.8,6.2,186
Canvas,24.1,90.5,48.4,5.3,193
Canvas,24.2,89.1,47.4,5.1,192
Canvas,24.0,89.9,48.4,5.5,174
Canvas,24.2,89.6,47.8,6.3,187
Canvas,24.0,88.7,47.8,9.3,186
Canvas,24.2,90.7,46.7,6.4,195
Canvas,24.1,90.1,47.2,6.7,191
Canvas,24.2,91.1,47.1,9.5,197
Canvas,24.1,90.0,48.4,9.3,186
Canvas,24.0,89.5,47.6,7.5,192
Canvas,24.1,91.3,48.2,8.7,186
Canvas,24.1,90.4,46.8,8.3,202
Canvas,24.0,88.5,46.8,5.0,191
Canvas,24.1,90.9,47.5,5.8,190
Canvas,24.0,88.9,47.5,8.0,184
Canvas,24.0,88.2,47.3,6.1,196
Canvas,24.1,89.7,47.6,8.4,201
Canvas,24.1,88.7,47.5,7.0,192
Canvas,24.1,88.5,47.7,5.6,193
Canvas,24.1,88.6,47.9,6.0,191
Canvas,24.0,90.0,47.3,5.1,193
Canvas,24.2,88.3,47.4,7.7,198
