jenis_sepatu,suhu,kelembapan,tingkat_kebasahan,ketebalan_bahan,waktu
Canvas,33.1,88.6,sedang,sedang,328
Canvas,41.9,77.5,basah,tipis,326
Canvas,42.8,75.3,basah,tebal,344
Canvas,33.1,82.1,sedang,tebal,353
Canvas,42.6,67.3,basah,sedang,333
Canvas,32.4,44.9,basah,sedang,337
Leather,40.8,86.9,sangat_basah,sedang,460
Leather,40.1,66.5,sangat_basah,tipis,416
Leather,41.8,72.7,ringan,tipis,292
Leather,37.3,20.2,basah,tebal,402
Leather,40.2,42.3,ringan,tipis,256
Leather,41.1,41.9,basah,sedang,340
Leather,32.4,48.5,sangat_basah,sedang,452
Leather,33.7,48.8,sedang,tipis,328
Leather,43.0,33.9,sedang,sedang,305
Leather,37.6,23.9,basah,tebal,395
Leather,40.3,32.0,basah,sedang,341
Leather,41.6,75.9,ringan,tebal,350
Leather,41.6,82.0,basah,tipis,382
Leather,43.7,28.2,basah,tipis,313
Leather,39.4,63.2,basah,tebal,396
Leather,35.8,46.2,ringan,sedang,301
Leather,33.7,26.0,sedang,sedang,339
Leather,38.7,30.2,sedang,sedang,322
Leather,35.1,45.6,sedang,tebal,352
Leather,40.0,66.3,basah,sedang,392
Leather,34.5,85.1,sangat_basah,tebal,484
Leather,43.4,54.6,sedang,tipis,283
Leather,41.6,91.2,sedang,tebal,393
Leather,34.9,75.1,sedang,tipis,352
Leather,39.0,67.4,sangat_basah,sedang,435
Leather,32.6,37.6,sedang,sedang,336
Leather,36.0,69.0,basah,tebal,427
Leather,38.9,67.9,ringan,sedang,310
Leather,43.9,47.5,basah,tipis,317
Leather,42.8,89.0,sedang,tipis,320
Leather,39.2,50.3,ringan,sedang,306
Leather,39.1,74.8,basah,tebal,405
Leather,41.9,86.3,basah,tebal,421
Leather,38.4,77.7,basah,tebal,429
Leather,39.1,43.7,sangat_basah,tipis,388
Leather,33.3,94.8,sangat_basah,tebal,505
Leather,42.4,68.9,sedang,sedang,321
Leather,35.3,60.6,ringan,tebal,336
Leather,32.4,88.7,ringan,tebal,377
Leather,33.9,80.0,sangat_basah,tebal,502
Leather,32.7,80.2,sangat_basah,tebal,485
Leather,40.5,70.5,sangat_basah,tipis,418
Leather,34.5,53.4,basah,tebal,414
Leather,36.2,87.1,sedang,sedang,376
Leather,42.7,37.1,sangat_basah,tebal,415
Leather,33.9,26.8,ringan,tebal,330
Leather,38.4,70.4,sedang,tebal,373
Leather,34.3,69.8,sedang,sedang,376
Leather,35.4,67.8,sedang,tebal,385
Leather,41.2,81.4,sedang,sedang,363
Leather,38.3,24.8,sedang,tipis,289
Leather,36.4,36.4,sedang,sedang,340
Leather,34.6,64.0,sangat_basah,tebal,487
Leather,41.5,43.6,basah,tipis,326
Leather,32.3,27.1,ringan,tipis,292
Leather,44.4,48.8,basah,sedang,351
Leather,37.2,72.9,sedang,sedang,370
Leather,44.9,90.5,sangat_basah,tipis,427
Leather,35.0,42.1,sedang,sedang,327
Leather,33.8,64.4,sedang,tipis,343
Leather,41.1,67.5,sedang,sedang,337
Leather,43.3,31.9,basah,tipis,309
Leather,35.5,51.2,basah,tebal,417
Leather,33.6,80.6,sangat_basah,sedang,476
Leather,41.5,42.8,sangat_basah,tipis,378
Leather,40.9,34.3,sangat_basah,sedang,406
Leather,33.6,93.4,sedang,sedang,396
Leather,39.4,85.2,basah,sedang,402
Leather,41.9,80.8,sedang,sedang,359
Leather,43.8,80.7,sangat_basah,tipis,398
Leather,42.6,57.0,basah,tipis,341
Leather,41.4,61.0,basah,tipis,361
Leather,36.6,45.8,sangat_basah,tipis,394
Leather,32.2,46.3,basah,sedang,385
Leather,35.4,78.3,sedang,tipis,354
Leather,41.3,81.1,sedang,tipis,342
Leather,32.2,52.3,sedang,tebal,388
Leather,44.1,63.6,sangat_basah,tebal,427
Leather,32.0,52.3,basah,tebal,422
Leather,44.0,87.7,sedang,tipis,320
Leather,43.8,66.4,sedang,sedang,331
Leather,35.4,29.8,basah,sedang,372
Leather,35.6,32.7,ringan,sedang,296
Leather,35.7,69.1,basah,tipis,368
Leather,34.9,44.4,sedang,tebal,358
Leather,35.0,89.0,sedang,tipis,351
Leather,33.0,34.1,ringan,sedang,318
Leather,34.8,22.6,sedang,sedang,341
Leather,35.8,73.7,basah,sedang,392
Leather,44.4,28.7,basah,tipis,325
Leather,37.5,49.5,sangat_basah,sedang,414
Leather,38.5,34.5,sangat_basah,sedang,401
Leather,34.6,26.3,basah,tipis,347
Leather,42.9,75.4,basah,sedang,390
Leather,34.4,23.6,ringan,tebal,331
Leather,44.2,66.9,sedang,sedang,318
Leather,43.8,60.2,ringan,tipis,260
Leather,41.2,70.2,sedang,tipis,328
Leather,34.5,53.2,basah,sedang,377
Leather,36.1,36.6,sedang,tebal,364
Leather,35.1,89.5,sedang,tebal,414
Leather,33.5,81.7,ringan,tebal,368
Leather,40.4,86.0,ringan,tebal,350
Leather,36.9,24.0,ringan,tebal,327
Leather,43.4,42.6,sedang,sedang,303
Leather,40.4,44.2,ringan,sedang,299
Leather,34.3,80.0,ringan,sedang,350
Leather,39.4,94.4,sangat_basah,sedang,458
Leather,36.2,81.4,sedang,tipis,345
Leather,37.0,33.7,sedang,sedang,335
Leather,40.9,93.3,sedang,tipis,338
Leather,40.9,81.4,basah,sedang,401
Leather,35.3,86.8,sedang,tipis,372
Leather,44.3,23.3,sedang,sedang,288
Leather,34.9,56.6,sedang,sedang,339
Leather,40.4,64.1,basah,sedang,368
Leather,36.4,64.9,ringan,tipis,300
Leather,35.9,85.5,basah,tebal,447
Leather,40.3,45.6,sedang,sedang,330
Leather,34.8,94.3,sangat_basah,sedang,467
